repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
binary-husky/gpt_academic,Applications,Info aggregation,63866,41,0.06%,184,0.29%,7898,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。","binary-husky, binary-sky, Skyzayre",88,2023-03-20,2024-09-08,14535
PaddlePaddle/PaddleOCR,Model repo,Multimodal,42552,40,0.09%,208,0.49%,7665,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)","LDOUBLEV, WenmuZhou, MissPenguin",100+,2020-05-08,2024-09-11,0
ChatGPTNextWeb/ChatGPT-Next-Web,AI engineering,AI interface,74808,38,0.05%,223,0.30%,58926,A cross-platform ChatGPT/Gemini UI (Web / PWA / Linux / Win / MacOS). 一键拥有你自己的跨平台 ChatGPT/Gemini 应用。,"Yidadaa, lloydzhou, Dogtiti",100+,2023-03-10,2024-09-09,164595
THUDM/CogVideo,Model repo,,7095,37,0.52%,383,5.44%,653,Text-to-video generation: CogVideoX (2024) and CogVideo (ICLR 2023),"zRzRzRzRzRzRzR, wenyihong, huangshiyu13",18,2022-05-29,2024-09-12,0
ggerganov/llama.cpp,Model development,Inference optimization,64782,37,0.06%,308,0.48%,9284,LLM inference in C/C++,"ggerganov, slaren, JohannesGaessler",100+,2023-03-10,2024-09-12,238612
mlabonne/llm-course,Tutorials,,36996,36,0.10%,223,0.60%,3881,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,"mlabonne, pitmonticone",2,2023-06-17,2024-01-02,0
BerriAI/litellm,AI engineering,AIE framework,12155,35,0.29%,276,2.28%,1404,"Python SDK, Proxy Server to call 100+ LLM APIs using the OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]","ishaan-jaff, krrishdholakia, Manouchehri",100+,2023-07-27,2024-09-12,587
upscayl/upscayl,Applications,Image production,29724,35,0.12%,367,1.24%,1352,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.","NayamAmarshe, aaronliu0130, TGS963",25,2022-07-30,2024-09-07,5572250
microsoft/autogen,AI engineering,Agent,30700,35,0.11%,280,0.91%,4471,A programming framework for agentic AI 🤖,"sonichi, skzhang1, qingyun-wu",100+,2023-08-18,2024-09-12,0
FlowiseAI/Flowise,AI engineering,AIE framework,29669,32,0.11%,174,0.59%,15310,Drag & drop UI to build your customized LLM flow,"HenryHengZJ, chungyau97, vinodkiran",100+,2023-03-31,2024-09-12,0
AUTOMATIC1111/stable-diffusion-webui,Applications,Image production,139420,32,0.02%,349,0.25%,26433,Stable Diffusion web UI,"AUTOMATIC1111, w-e-w, dfaker",100+,2022-08-22,2023-12-30,531852
unslothai/unsloth,Model development,Inference optimization,15430,31,0.20%,324,2.11%,1037,"Finetune Llama 3.1, Mistral, Phi & Gemma LLMs 2-5x faster with 80% less memory","danielhanchen, shimmyshimmer, xyangk",9,2023-11-29,2024-09-08,0
huggingface/transformers,Model development,Modeling & training,131884,30,0.02%,303,0.23%,26262,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","thomwolf, sgugger, LysandreJik",100+,2018-10-29,2024-09-11,1820
openai/whisper,Model repo,,67350,28,0.04%,300,0.45%,7947,Robust Speech Recognition via Large-Scale Weak Supervision,"jongwook, ryanheise, EliEron",66,2022-09-16,2024-09-10,0
iryna-kondr/scikit-llm,Model development,Modeling & training,3214,27,0.84%,165,5.17%,252,Seamlessly integrate LLMs into scikit-learn.,"OKUA1, iryna-kondr, AndreasKarasenko",11,2023-05-12,2024-08-04,0
run-llama/llama_index,AI engineering,AIE framework,35338,27,0.08%,158,0.45%,4972,LlamaIndex is a data framework for your LLM applications,"jerryjliu, logan-markewich, Disiok",100+,2022-11-02,2024-09-11,1285
langchain-ai/langchain,AI engineering,AIE framework,92179,27,0.03%,255,0.28%,14704,🦜🔗 Build context-aware reasoning applications,"baskaryan, hwchase17, efriis",100+,2022-10-17,2024-09-12,4816
sgl-project/sglang,AI engineering,Prompt engineering,5053,26,0.52%,162,3.23%,352,SGLang is a fast serving framework for large language models and vision language models.,"merrymercy, zhyncs, Ying1123",94,2024-01-08,2024-09-11,0
KillianLucas/01,Applications,Workflow automation,4898,26,0.53%,41,0.84%,505,"The #1 open-source voice interface for desktop, mobile, and ESP32 chips.","KillianLucas, tyfiero, MikeBirdTech",46,2024-01-11,2024-09-06,0
OpenDevin/OpenDevin,Applications,Coding,31224,26,0.08%,244,0.78%,3600,"🙌 OpenHands: Code Less, Make More","xingyaoww, rbren, tobitege",100+,2024-03-13,2024-09-12,0
fighting41love/funNLP,Lists,,67582,26,0.04%,165,0.24%,14393,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具","fighting41love, wainshine, imhuster",11,2018-08-21,2023-08-24,0
langchain-ai/langgraph,AI engineering,Agent,5570,25,0.45%,127,2.29%,882,Build resilient language agents as graphs.,"nfcampos, vbarda, hinthornw",77,2023-08-09,2024-09-11,0
Stability-AI/StableStudio,Applications,Image production,8647,25,0.29%,50,0.58%,860,Community interface for generative AI,"cruhl, jtydhr88, KAJdev",6,2023-04-21,2023-05-24,432
lutzroeder/netron,Tutorials,,27522,25,0.09%,107,0.39%,2742,"Visualizer for neural network, deep learning and machine learning models",lutzroeder,1,2010-12-26,1000-01-01,159197
openai/triton,Model development,Inference optimization,12634,24,0.19%,161,1.28%,1525,Development repository for the Triton language and compiler,"ptillet, Jokeren, ThomasRaoux",100+,2014-08-30,2024-09-12,0
s0md3v/roop,Applications,Image production,27771,24,0.09%,237,0.86%,6682,one-click face swap,"henryruhs, s0md3v, K1llMan",20,2023-05-28,2023-08-02,0
QwenLM/Qwen1.5,Model repo,,7387,22,0.30%,188,2.56%,447,"Qwen2 is the large language model series developed by Qwen team, Alibaba Cloud.","JustinLin610, jklj077, bug-orz",25,2024-02-05,2024-09-11,0
zhayujie/chatgpt-on-wechat,Applications,Bots,29808,22,0.07%,172,0.58%,7869,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT4.0/ Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,"zhayujie, lanvent, 6vision",70,2022-08-07,2024-09-11,221
liguodongiot/llm-action,Tutorials,,9080,21,0.23%,168,1.86%,885,本项目旨在分享大模型相关技术原理以及实战经验。,liguodongiot,1,2023-05-23,1000-01-01,0
labring/FastGPT,AI engineering,AIE framework,16883,20,0.12%,150,0.89%,4514,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.","c121914yu, yangchuansheng, newfish-cmyk",86,2023-02-23,2024-09-12,0
deepset-ai/haystack,AI engineering,AIE framework,16653,20,0.12%,140,0.84%,1826,":mag: AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.","ZanSara, silvanocerza, masci",100+,2019-11-14,2024-02-02,23
xenova/transformers.js,AI engineering,AIE framework,10935,20,0.18%,85,0.78%,666,"State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!","xenova, chelouche9, DavidGOrtega",29,2023-02-13,2024-03-07,0
gradio-app/gradio,AI engineering,AI interface,32085,20,0.06%,148,0.46%,2396,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","abidlabs, pngwn, aliabd",100+,2018-12-19,2024-09-12,0
milvus-io/milvus,Infrastructure,VectorDB,29351,20,0.07%,135,0.46%,2815,"A cloud-native vector database, storage for next generation AI applications","congqixia, JinHai-CN, bigsheeper",100+,2019-09-16,2024-09-12,168680
openai-translator/openai-translator,Applications,Workflow automation,23574,20,0.08%,64,0.27%,1719,基于 ChatGPT API 的划词翻译浏览器插件和跨平台桌面端应用    -    Browser extension and cross-platform desktop application for translation based on ChatGPT API.,"yetone, maltoze, OverflowCat",87,2023-03-04,2023-06-28,1451377
joaomdmoura/crewAI,AI engineering,Agent,19065,19,0.10%,183,0.96%,2630,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","joaomdmoura, lorenzejay, pythonbyte",100+,2023-10-27,2024-09-10,0
danny-avila/LibreChat,AI engineering,AI interface,17339,18,0.10%,179,1.04%,2881,"Enhanced ChatGPT Clone: Features Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. Actively in public development.","danny-avila, wtlyu, berry-13",100+,2023-02-12,2024-09-12,0
mlfoundations/open_clip,Model repo,,9759,18,0.18%,62,0.64%,951,An open source implementation of CLIP.,"rwightman, rom1504, gabrielilharco",50,2021-07-28,2024-07-04,327134
openai/CLIP,Model repo,Multimodal,24644,18,0.07%,127,0.52%,3204,"CLIP (Contrastive Language-Image Pretraining),  Predict the most relevant text snippet given an image","jongwook, jiahuei, or-toledano",21,2020-12-16,2024-06-04,0
CopilotKit/CopilotKit,AI engineering,AI interface,9777,17,0.17%,187,1.92%,942,"A framework for building custom AI Copilots 🤖 in-app AI chatbots, in-app AI Agents, & AI-powered Textareas.","ataibarkai, mme, arielweinberger",21,2023-06-19,2024-09-06,0
songquanpeng/one-api,AI engineering,AIE framework,17827,17,0.10%,147,0.83%,4040,"OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI.","songquanpeng, mrhaoji, igophper",100+,2023-04-22,2024-07-14,3102
Bin-Huang/chatbox,Applications,Bots,20685,17,0.08%,84,0.41%,2095,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)","Bin-Huang, hiNISAL, joegoldin",29,2023-03-06,2024-09-02,452046
nomic-ai/gpt4all,AI engineering,AIE framework,69071,17,0.02%,127,0.18%,7582,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,"manyoso, cebtenzzre, AndriyMulyar",100+,2023-03-27,2024-09-11,7400
PlexPt/awesome-chatgpt-prompts-zh,Lists,Prompt engineering,52126,17,0.03%,77,0.15%,13511,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,"PlexPt, ImgBotApp, PeterDaveHello",24,2022-12-12,2024-07-01,0
